Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand,Generic,Indication,MOA,Approval,Economics,Admin,IP,,Price,27.0,
,Empaveli,pegcetacoplan,PNH,C3,2021-05-14 00:00:00,,subcutaneous infusion,,,Shares,121.766328,Q224
,Syfovre,pegcetacoplan,Geographic Atrophy,C3,2023-02-01 00:00:00,SOBI,intravitreal,,,MC,3287.690856,
,,,,,Phase,,,,,Cash,360.087,Q224
,APL-2006,,,C3/VEGF,,,,,,Debt,456.83399999999995,Q224
,APL-1030,,,CNS active,Preclinical,,,,,EV,3384.437856,
,APL-3007,,,siRNA,IND,,,,,AD,2941.568,Q224
,,,,,,,,,,,,
,,,,,,5/4/23: Q123 results,,,,Founded,2009.0,
,,,,,,5/3/23: investor conference,,,,,,
,,,,,,4/27/23: Q123 call date,,,,CEO: Cedric Francois,,
,,,,,,4/24/23: MERIDIAN ALS study discontinued,,,,CDO: Jeff Eisele,,
,,,,,,4/23/23: ARVO presentation of DERBY and OAKS,,,,CMO: Federico Grossi,,
,,,,,,"4/21/23: Validation of Canadian, Australian, UK, Switzerland GA MAAs",,,,CCO: Adam Townsend,,
,,,,,,4/17/23: endorsement for GA awareness,,,,CMO: Caroline Baumal,,
,,,,,,4/6/23: inducements,,,,,,
,,,,,,3/6/23: inducements,,,,,,
