Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Aria - produced 2 in 2021,,,,,,,Price,55,,,
,25 qubits,,,,,,,Shares,354.279591,Q325,,
,Aria-1 - AWS - OFFLINE,,,,,,,MC,19485.377505,,,
,Aria-2 - AWS - OFFLINE,,,,,,,Cash,1657,Q225,,
,,,,,,,,Debt,0,Q225,,
,Forte - produced 1 in 2023,,,,,,,EV,17828.377505,,,
,36 qubits,,,,,,,,,,,
,AWS - RESERVATION ONLY,,,,,,,Employees,324,2023-12-31 00:00:00,,
,,,,,,,,Founded,2015,,,
,Tempo,,,,,,,,,,,
,YE2025: 100 qubits,,,,,,,AD,352.2073,Q423,,
,,,,,,,,,,,,
,11 qubit computer mentioned in S-1,,,,,,,,,,,
,20-qubit mentioned in 2021 10-K,,,,,,,https://status.ionq.co/,,,,
,,,,,,,,,,,,
,Harmony - produced 2 in 2019,,,,,,,,,,,
,,,,,,,,,,,,
,"Michael Hayduk, Deputy Director of the Air Force Research Laboratory, Information Directorate",,,,,,,,,,,
,415m annual budget,,,,,,,CEO: Peter Chapman since 2019,,,,
,,,,,,,,7/7/25: raised $1B selling 14.165708m shares at 55.49,,,,
,Customers,,,,,,,"6/7/25: signs SPA for Oxford Ionics for $1.065B, 21.1m to 35.2m share collar.",,,,
,Airbus,,,,,,,"5/30/25: closes Lightsynq for 12,377,433 shares.",,,,
,General Dynamics,,,,,,,"12/27/24: Qubitekk acquisition, 22.1m cash, 15.5m at closing",,,,
,Oak Ridge,,,,,,,8/6/24: ARLIS $40m project,,,,
,AFRL,,,,,,,7/2022: UMD contract 2,,,,
,Lockheed,,,,,,,9/2021: UMD contract,,,,
,Caterpillar,,,,,,,3/7/21: reverse merger,,,,
,Nvidia,,,,,,,2015: IonQ founded,,,,
,Hyundai,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,Close,Signed,Consideration,Cash
,Martin Roetteler,,"VP, Quantum Solutions",,,,,Lightsynq,2025-05-30 00:00:00,,12377433,
,Mark Solomon,,"VP, Sales",,,,,Capella Space,2025-07-11 00:00:00,2025-05-07 00:00:00,7401396,
,Tori Leeker,,Financial Systems,,,,,Oxford Ionics,,2025-06-07 00:00:00,25000000,
,Laird Egan,,Senior Quantum Systems,,,,,id Quantique,2025-04-30 00:00:00,,4215740,
,Stacey Giamalis,,GC,,,,,Qubitekk,,,,22000000
