Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Class,Rights,Admin,Approved,IP,,,Price,189.0,
,Stelara (ustekinumab),Psoriasis,IL-12/23 mab,SGP/BMY,SC,2009-09-25 00:00:00,2023 biosimilars?,,,Shares,2409.295102,Q325
,Darzalex (daratumumab),Multiple Myeloma,CD38 mab,GMAB,IV,2015-11-16 00:00:00,Antibody,,,MC,455356.774278,
,Tecvayli (teclistamab),Multiple Myeloma,BCMAxCD3,GMAB,SC,2022-10-22 00:00:00,Antibody,,,Cash,18562.0,Q325
,Carvykti (cilta-cel),Multiple Myeloma,BCMA CART,LGND,IV,2022-02-28 00:00:00,,,,Debt,39408.0,Q325
,Invega Sustenna (paliperidone palmitate),Schizophrenia,D2,ELN,IM,2009-07-31 00:00:00,,,,EV,476202.774278,
,Xarelto (rivaroxaban),Stroke prevention,Factor Xa,BAY GR,Oral,2011,,,,,,
,Imbruvica (ibrutinib),"CLL, GvHD",BTK,ABBV,Oral,2013,,,,,,
,Remicade (infliximab),"RA, Crohn's, AS, PSA, UC, Psoriasis",TNF mab,MRK,IV,1998-08-24 00:00:00,Antibody,,,CEO: Joaquin Duato,,
,Simponi (golimumab),"RA, PSA, AS",TNF mab,MRK/BMY,SC,2009-04-24 00:00:00,Antibody,,,CFO: Joseph Wolk,,
,Tremfya (guselkumab),"Psoriasis, Ulcerative Colitis",IL-23,1,SC,2017-07-13 00:00:00,Antibody,,,Pharma: Jennifer Taubert,,
,Concerta (methylphenidate),ADHD,Amphetamine,1,Oral,,2004/2017,,,Oncology: Yusri Elsayed,,
,Invokana (canagliflozin),T2D,SGLT2,Mitsubishi,Oral,,,,,Neuroscience: Bill Martin,,
,Ponvory (ponesimod),Multiple Sclerosis,S1P1,IDIA,Oral,2021-03-18 00:00:00,,,,,,
,Opsumit (macitentan),PAH,ERA,,Oral,,,,,MedTech: Jennifer Currin,,
,Risperdal Consta,Schizophrenia,D2,ALKS,IM,,2013-2019,,,EMEA Hematology: Edmond Chan,,
,Edurant (riplivirine),HIV,NNRTI,1,Oral,,"GSK, MRK, GILD",,,Multiple Myeloma: Jordan Schecter,,
,Prezista (darunavir),HIV,Protease,1,Oral,,2015,,,Immunodermatology: Liza O'Dowd,,
,Intelence (etravirine),HIV,NNRTI,1,Oral,,NCE,,,GI/Immunology: Esi Lamouse-Smith,,
,Zytiga (abiraterone),Prostate Cancer,Testoserone,1,Oral,2011,MDVN,,,,,
,Erleada (apalutamide),Prostate Cancer,,1,Oral,,,,,Founded: 1886,,
,Spravato (ketamine),Treatment-Resistant Depression,NMDA,1,IN,,,,,IPO: 1944,,
,Talvey (talquetamab),Multiple Myeloma,GPRC5DxCD3,,,2023-08-09 00:00:00,,,,,,
,Balversa (erdafitinib),,,,,,,,,,,
