Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,More Personal Computing,,,,,,,,,Price,523,
,Windows,OS,,,,,,,,Shares,7466,Q325
,Xbox,Games,,,,,,,,MC,3904718,
,Bing,,,,,,,,,Cash,113477,Q325
,Surface,,,,,,,,,Debt,43208,Q325
,,,,,,,,,,EV,3834449,
,Edge?,,,,,,,,,,,
,,,,,,,,,,Founded,1975,
,,,,,,,,,,,,
,Productivity & Business Processes,,,,,Intelligent Cloud,,,,CEO,Satya Nadella,
,Office,,,,,Azure,,,,CFO,Amy Hood,
,,"Outlook, Excel, Powerpoint",,,,Server,,,,CAO,Alice Jolla,
,LinkedIn,Social Network: 900m members,,,,,,,,Deputy GC,Keith Dolliver,
,Dynamics,CRM,,,,OpenAI?,,,,VP IR,Brett Iversen,
,,,,,,Security: $20B business!?,,,,,,
,Teams,Viva (Yammer replacement),,,,,"Defender, Sentinel",,,,,
,GitHub?,,,,,,,,,,,
,Visual Studio?,,,,,,,,,,,
,Clipchamp,Create,,,,,,,,,,
,Loop (Notion ripoff),,Power Pages (no code),,,,,,,,,
,,,,,,,,,,,,
,"10/13/23: Activision acquisition closes, $75.4B.",,,,,,,,,,,
,4/26/22: FQ322 results,,,,,,,,,,,
,"3/4/22: Nuance acquisition closes, $18.8B.",,,,,,,,,,,
,"3/9/21: ZeniMax acquisition closes, $8.1B.",,,,,,,,,,,
,2014: Acquires Nokia phones for $9.5B. Satya replaces Ballmer.,,,,,,,,,,,
,"2008: Acquires Aquantive for $8B, proposes to acquire Yahoo.",,,,,,,,,,,
,1994: Planned merger of Intuit.,,,,,,,,,,,
,1991: MS-DOS 5.0. DOS was installed on 75% of all computers at that point (60m PCs),,,,,,,,,,,
,1987: Excel for Windows introduced.,,,,,,,,,,,
,"1986: IPO on 3/13/1986, $61m.",,,,,,,,,,,
,1985: Excel for Macintosh introduced.,,,,,,,,,,,
,1983: Microsoft Word for DOS released. Microsoft Flight Simulator. Microsoft Press founded.,,,,,,,,,,,
,1981: Converts from partnership to corporation. DOS released.,,,,,,,,,,,
,"1980: Enters OS market with UNIX license ""XENIX"". IBM deal for MS-DOS. Releases ""SoftCard"", hardware product for Apple II. $8m revenue. BASIC for Atari in development. 86-QDOS created by Seattle Computer. Bob O'Rear. Marla Wood, Steve Wood left the company. Steve Ballmer joins in June as employee 30. 28 programmers, Gates and a secretary.",,,,,,,,,,,
,"1979: Establishes consumer products division with Vern Raburn: Typing Tutor and Adventure. $4m revenue. Steve Smith joins in July, just before Raburn as Marketing Director. Xerox $150k customer. CBASIC from Digital became a competitor.",,,,,,,,,,,
,1978: Nearly $1m in revenue by 1978.,,,,,,,,,,,
,"1977: Terminates MITS license agreement. FORTRAN, 6800, 6502 but not 8080 BASIC. MITS/Pertec litigation returns BASIC to Microsoft. COBOL released. Tandy & Apple sign BASIC deals.",,,,,,,,,,,
,"1976: 4K, 8K, Extended, ROM and Disk BASIC. NCR and GE purchased BASIC. $200,000 revenue.",,,,,,,,,,,
,"1975: Microsoft founded, signed MITS BASIC deal for $3,000 upfront, with royalties capped at $180,000.",,,,,,,,,,,
