Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Economics,Approved,Mechanism,Mechanism,Admin,,Price EUR,91.0,
,Lantus (insulin glargine),Type 2 Diabetes,1,2000-04-20 00:00:00,Insulin,Insulin,SQ,,Shares,1251.0,Q224
,Plavix (clopidogrel),Cardiology,BMY,1997-11-17 00:00:00,"US November 2011, EU 2013 (challenged)",Anticoagulant,Oral,,MC EUR,113841.0,
,Lovenox (enoxaparin),Cardiology,1,1993-03-29 00:00:00,"No IP, Semi-Biologic",LMWH,IV/SQ,,Cash EUR,0.0,Q324
,Dupixent (dupilumab),Asthma,REGN,2017-03-28 00:00:00,IL-4 mab,Antibody,SC/IM?,,Debt EUR,11483.0,Q324
,Taxotere (docetaxel),"mBC, NSCLC, HRPC",1,1996-05-14 00:00:00,2010 COM.,Taxane,IV,,EV EUR,125324.0,
,Allegra (fexofenadine),Allergic Rhinitis,AMRI,1996-07-25 00:00:00,Settled with BRL for 11/09.,Antihistamine,Oral,,,,
,Aubagio (teriflunomide),Multiple Sclerosis,1,2012-09-12 00:00:00,,DHODH,Oral,,CEO: Paul Hudson,,
,Eloxatin (oxaliplatin),Oncology,DebioPharm,2002-08-09 00:00:00,Generics launched Q309.,Platinum,IV,,"EVP, Specialty: Brian Foard",,
,Aprovel (irbesartan),Hypertension,"BMY US, Ex-US",,,ARB,Oral,,,,
,Amaryl (glimepiride),Type 2 Diabetes,,,US Generic,Sulfonylurea,Oral,,,,
,Actonel,Osteoporosis,WCRX,,,Biphosphonate,Oral,,Zentiva?,,
,Xyzal,Allergic Rhinitis,UCB,2007,,,,,Shantha?,,
,H5N1 vaccine,Influenza,1,,,Vaccine,,,Medley,,
,Multaq (dronedarone),Atrial Fibrillation,1,2009-07-01 00:00:00,"2014 NCE, 2018 Use",,Oral,,,,
,Jevtana (cabazitaxel),HRPC,1,2010,Taxane,,,,,,
